# IDs, i, j, k, m, r, m200, r200, m180, r180
5.119390298200000000e+10 3.051000000000000000e+03 1.615000000000000000e+03 1.926000000000000000e+03 1.033390000000000000e+12 1.000000000000000000e+01 1.340978705549349609e+12 8.000000000000000000e+00 4.727403515552676758e+12 1.500000000000000000e+01
7.514270589000000000e+09 4.470000000000000000e+02 3.626000000000000000e+03 2.941000000000000000e+03 1.033550000000000000e+12 1.000000000000000000e+01 1.579506751952468506e+12 8.000000000000000000e+00 2.609018530622580566e+12 1.200000000000000000e+01
3.703361106200000000e+10 2.207000000000000000e+03 1.536000000000000000e+03 3.894000000000000000e+03 1.033720000000000000e+12 9.000000000000000000e+00 7.042866222893080078e+12 1.100000000000000000e+01 8.945463011731324219e+12 1.800000000000000000e+01
1.695165385200000000e+10 1.010000000000000000e+03 1.627000000000000000e+03 1.500000000000000000e+03 1.033920000000000000e+12 1.000000000000000000e+01 6.924734985491157227e+12 1.100000000000000000e+01 9.837873927700257812e+12 1.900000000000000000e+01
1.317834496000000000e+09 7.800000000000000000e+01 2.248000000000000000e+03 3.840000000000000000e+03 1.034340000000000000e+12 1.000000000000000000e+01 6.820638377214327148e+12 1.100000000000000000e+01 9.913857499484197266e+12 1.900000000000000000e+01
5.716543434000000000e+10 3.407000000000000000e+03 1.332000000000000000e+03 3.556000000000000000e+03 1.034470000000000000e+12 1.000000000000000000e+01 7.439918219379185547e+12 1.100000000000000000e+01 1.034770371222535352e+13 1.900000000000000000e+01
5.978871320600000000e+10 3.563000000000000000e+03 2.805000000000000000e+03 3.318000000000000000e+03 1.036920000000000000e+12 1.000000000000000000e+01 7.090713326327219727e+12 1.100000000000000000e+01 1.137033143817047070e+13 2.000000000000000000e+01
4.857461161600000000e+10 2.895000000000000000e+03 1.116000000000000000e+03 1.600000000000000000e+02 1.037730000000000000e+12 1.000000000000000000e+01 7.443990716014794922e+12 1.100000000000000000e+01 1.037712665882957227e+13 1.900000000000000000e+01
5.640733860500000000e+10 3.362000000000000000e+03 5.700000000000000000e+02 3.693000000000000000e+03 1.037940000000000000e+12 9.000000000000000000e+00 7.627066751144306641e+12 1.100000000000000000e+01 1.008594508039621289e+13 1.900000000000000000e+01
5.010939485000000000e+09 2.980000000000000000e+02 2.765000000000000000e+03 3.677000000000000000e+03 1.040860000000000000e+12 1.000000000000000000e+01 2.065505775120146729e+12 8.000000000000000000e+00 2.655736784125895508e+12 1.200000000000000000e+01
4.723808582800000000e+10 2.815000000000000000e+03 2.495000000000000000e+03 3.268000000000000000e+03 1.041300000000000000e+12 1.000000000000000000e+01 7.557472034447486328e+12 1.100000000000000000e+01 1.022765500008235938e+13 1.900000000000000000e+01
4.984836906100000000e+10 2.971000000000000000e+03 7.950000000000000000e+02 4.005000000000000000e+03 1.042150000000000000e+12 1.100000000000000000e+01 7.057346825495691406e+12 1.100000000000000000e+01 1.164489880371427344e+13 2.000000000000000000e+01
4.588837892100000000e+10 2.735000000000000000e+03 6.570000000000000000e+02 2.089000000000000000e+03 1.042260000000000000e+12 1.100000000000000000e+01 7.417436817376326172e+12 1.100000000000000000e+01 1.108423681677534766e+13 2.000000000000000000e+01
4.686409831000000000e+10 2.793000000000000000e+03 1.302000000000000000e+03 1.030000000000000000e+03 1.042670000000000000e+12 1.000000000000000000e+01 6.925025163311871094e+12 1.100000000000000000e+01 1.054806814546149805e+13 1.900000000000000000e+01
